Name,Location,Website,contact,mapLocation
Bhrikuti Stay,"Swotha Rd, ललितपुर 44700",981-3156839,M8GG+69 ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Holiday Inn,"Swayambhu Marg, काठमाडौँ 44600",01-5312571,P865+C2 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Pahan Chhen,"Patan Durbar Square Mangal Baazar 12, ललितपुर 44700",pahanchhen.com,01-5450287,M8FG+H7 ललितपुर
Tajaa Pha The Heritage Home,"Pimbahal Rd, ललितपुर 44600",985-1039444,M8GC+77 ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Nyadha House Bed & Breakfast,"Nyadhal Tole House Number 319, ललितपुर 44600",nyadhahouse.com,976-1699777,M8GF+X3 ललितपुर
बुटिक हेरिटेज होम,"Saugal chowk, Ward 8, ललितपुर 44700",bhhnepal.com,981-8610462,M8CG+9P ललितपुर
Mila Hotel,"Ikha Pokhari Marg, काठमाडौँ 44600",milahotel.com.np,01-5970164,P865+22 काठमाडौँ
होटेल याला पिक,"Thamel Marg, काठमाडौँ 44600",hotelyalapeak.com,01-5358996,P866+XH काठमाडौँ
Hotel De Sapphire,काठमाडौँ 44600,hoteldesapphire.com,M7RW+2M काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel M.Square Pvt . Ltd .,काठमाडौँ 44600,hotelmsquare.com,01-5908977,P865+MJ काठमाडौँ
Hotel Himalayan Oasis,"सात घुम्ती मार्ग, काठमाडौँ 44600",himalayanoasisnepal.com,01-4700456,P885+8W काठमाडौँ
Timber House,"पकनाजोल मार्ग, काठमाडौँ 44600",P875+4F काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १४:००चेक आउट गर्ने समय: १२:००
रोयल पेङ्गुइन,"P886+5W4, काठमाडौँ 44600",royalpenguinhotel.com,01-4215013,तपाईंको फोनमा पठाउनुहोस्
होटल ग्रान्ड टोक्यो,"M8X6+QGF Bagdurbar-11, काठमाडौँ 44600",oyorooms.com,01-5904107,M8X6+QG काठमाडौँ
Yamba Traditional Home,"धिमे मन्ह्यो गल्ली, ललितपुर 44700",984-3676134,M8CH+Q3 ललितपुर,तपाईंको फोनमा पठाउनुहोस्
काठमाडाैँ नाेम्याड होटल,"narsing chowck, काठमाडौँ 44600",01-5351720,P876+99 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Five14 Bed and Breakfast,"जावलाखेल भलीबल प्रशिक्षण केन्द्र, ललितपुर 44700",five14bnb.com,01-5450092,M8G6+35 ललितपुर
K2Homes,"44600, ललितपुर",facebook.com,985-1221742,M8GG+5G ललितपुर
Lalit Heritage Home,"M89G+V97, Patan Durbar Square, ललितपुर 44600",lalitheritagehome.com,984-3455640,तपाईंको फोनमा पठाउनुहोस्
न्यु होटल पान्डा,"ठमेल मार्ग, काठमाडौँ 44600",01-4249571,P885+F4 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Royal Emperor,"Sama Marg, काठमाडौँ 44600",hotelroyalemperor.com,01-5917414,P87G+29 काठमाडौँ
होटल गणेश हिमाल,"Ikhapokhari Marg P854+XJ5 Chettrapati, Chettrapati, Thamel 44600",hotelganeshhimal.com,01-5363598,P854+XJ काठमाडौँ
Hotel Mega & Apartment,"At, सात घुम्ती मार्ग, काठमाडौँ 44600",hotelmegakathmandu.com,985-1340075,P885+7P काठमाडौँ
Square hotel,"M8H7+884, ललितपुर 44700",squarehotelktm.com,01-5970227,तपाईंको फोनमा पठाउनुहोस्
Dees Boutique Hotel,"Shri Shanta Marg 32, काठमाडौँ 44600",deeshotel.com.np,985-1359174,M8GV+RW काठमाडौँ
पोताला गेस्ट हाउस,"जे पी मार्ग, काठमाडौँ 44600",potalaguesthouse.com,01-5320467,P866+W7 काठमाडौँ
Hotel Sekai,"Z Street, काठमाडौँ 44600",hotelsekai.com,01-4701055,P885+MQ काठमाडौँ
Vastu Boutique Hotel,"छुस्या गल्ली, काठमाडौँ 44600",vastuhotel.com,01-5909845,P867+W9 काठमाडौँ
Hotel Chhimeki,"Purano Dhalko Marga 17, काठमाडौँ 44600",hotelchhimeki.com,985-1010172,P864+HH काठमाडौँ
Yalamul Garden / Gypsy Swing Patan,"Crossroad, Saugal, ललितपुर 44700",yalamulgarden.com,981-8392721,M8CG+8V ललितपुर
होटल ब्यागप्याकर्स ईन,"अमृत मार्ग, काठमाडौँ 19190",hotelbackpackers.com.np,982-6842053,P877+9F काठमाडौँ
Kathmandu Boutique Cottage,Height 44600,booking.com,984-1349233,M8VC+4W काठमाडौँ
Backyard Hotel,"Chibahal Marg, काठमाडौँ 44600",hotelbackyard.com,01-5352603,P876+7G काठमाडौँ
OYO 776 Hotel R Valley View and family restaurant,"सेती ओपी मार्ग 556, काठमाडौँ 44600",985-1206458,M8HX+H3 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
क्याफे दे पाटन,"M8FF+5JX, ललितपुर 44600",01-5537599,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १२:००चेक आउट गर्ने समय: १२:००
Hotel Maya Boutique & Apartement,"ज्याथा मार्ग, काठमाडौँ 44600",hotelmayaboutique.com,985-1018068,P867+R7 काठमाडौँ
Kantipur Village,काठमाडौँ 44600,kantipurvillage.com,01-5901667,P867+Q6 काठमाडौँ
Kathmandu Height Boutique Hotel,"Lampokhari, काठमाडौँ 44600",ktmheighthotel.com,985-1108048,P88V+C8 काठमाडौँ
Hotel Sports Pvt. Ltd.,"M8X5+R93, काठमाडौँ 44600",यहाँ अवस्थित छ: Kathmandu mall,985-1209700,तपाईंको फोनमा पठाउनुहोस्
Hotel Pipal Tree,"P876+GPC, काठमाडौँ 44600",01-4542051,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Kathmandu Regency Hotel,"Chhetrapati, J.P Marga, काठमाडौँ 44600",kathmanduregencyhotel.com,01-5369847,P865+HF काठमाडौँ
रोयल किङ्ग्स होटल,काठमाडौँ 44600,royalkingshotel.com,985-1081173,P885+6W काठमाडौँ
Traditional Homes - Swotha,"Swotha Square, Ward No. 11, House No. 748, ललितपुर 44600",traditionalhomes.com.np,01-5551184,M8FG+Q7 ललितपुर
दरबार स्क्वायर पाहुना घर,"Lyaku Marga, काठमाडौँ 44600",sites.google.com,01-5350730,P835+F3 काठमाडौँ
ओम पेंशन गेस्ट हाउस,"बाकुमबहल, दरवार स्ववायर मार्ग, भिन्द्यो क्व - सौग: लँ, 44700",01-5525972,M8FG+7Q ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Hiranya Guest House,"नकबही, धलायचा लँ, ललितपुर 44600",984-1551450,M8GC+5X ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Lily Pvt.Ltd.,"Z Street, काठमाडौँ 44600",hotelthamellily.com,01-4701264,P885+MW काठमाडौँ
Basera Boutique Hotel,काठमाडौँ 44600,baseraboutiquehotel.com.np,01-5705626,M8VG+CG काठमाडौँ
Sanu's House,"चक्रपथ, ललितपुर 44700",sanuhouse.com,01-5202212,M88J+5J ललितपुर
Hotel Yakroo Manang,काठमाडौँ 44600,01-5350898,P885+83 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Traditional Newari Homestay,"M89H+4P7, Hakatole-Lunkhushi Rd, ललितपुर 44600",985-1120716,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Hotel Rosemary Homes,काठमाडौँ 44600,rosemaryhomes.com.np,01-4251493,P866+7C काठमाडौँ
Hotel Times Sundhara Lodge,"M8X5+WR8, काठमाडौँ 44600",तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्,P866+7C काठमाडौँ
पाटन घर,"M8FF+VP6, धौग: गल्ली, ललितपुर 44600",985-1025114,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
GreenTara Heritage Home,"Dhalayacha - Nagabahal Rd, ललितपुर 44600",984-1286889,M8GF+G8 ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Mystic Homes Hotel And Apartments,"Ga Kyaba Marg 556, काठमाडौँ 44600",980-2004419,P855+Q4 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Budget Backpackers Hostel,"M88H+CWC, Machagaa Marg Paschim, ललितपुर 44700",970-6490107,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Orchid Home Bed & Breakfast,"Bhanimandal Basketball Court, Ekantakuna Rd, ललितपुर 44600",986-0397611,M8F5+J4 ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Tara Art House,"M8HC+386, पाटनढोका-मदन स्मारक सडक, ललितपुर 44600",bedsandhotels.com,984-1211295,तपाईंको फोनमा पठाउनुहोस्
काठमाडौं बुटिक होटल,"गंगालाल मार्ग, काठमाडौँ 44600",kathmanduboutiquehotel.com,01-5357446,P865+35 काठमाडौँ
Hotel Everest Nepal,"छुस्या गल्ली, काठमाडौँ 44600",hoteleverestnepal.com,970-3685763,P867+R6 काठमाडौँ
Hotel Redstone Regency,"Paknajol, काठमाडौँ 44600",hotelredstone.com,982-0815078,P885+MF काठमाडौँ
