Name,Location,Website,contact,mapLocation
होटेल वावा,"Trishaktimarg, Uttardhoka, काठमाडौँ 44600",hotelwawa.com,01-4522205,P89F+7Q काठमाडौँ
Hotel de Universal,"Ram Devi Bhawan, Thahity Chowk, काठमाडौँ 44600",यहाँ अवस्थित छ: Ram Devi Bhawan,hoteldeuniversal.com,01-5348004
Hotel Festoon Thmel,"Z Street, काठमाडौँ 44600",01-4700998,P885+QW काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Royal Emperor,"Sama Marg, काठमाडौँ 44600",hotelroyalemperor.com,01-5917414,P87G+29 काठमाडौँ
हयात प्लेस काठमाडौँ,"रेडक्रस सडक, काठमाडौँ 44614",hyatt.com,01-5381234,M7XQ+MM काठमाडौँ
Hotel BUBO Himalaya Pvt. Ltd.,"नरसिंह चोक मार्ग, काठमाडौँ 44600",यहाँ अवस्थित छ: उचित वृत्त,hotelbubohimalaya.com,01-4255622
Hotel Royal Kathmandu,"Mitranagar 26, काठमाडौँ 44600",royalkathmandu.com,01-4983506,P8M6+G4 काठमाडौँ
होटल ग्रान्ड टोक्यो,"M8X6+QGF Bagdurbar-11, काठमाडौँ 44600",oyorooms.com,01-5904107,M8X6+QG काठमाडौँ
काठमाडौं बुटिक होटल,"गंगालाल मार्ग, काठमाडौँ 44600",kathmanduboutiquehotel.com,01-5357446,P865+35 काठमाडौँ
आर्यतारा काठमाण्डु,"Kesarmahal Rd, काठमाडौँ 44600",aryatarakathmanduhotel.com,986-0856648,P887+9R काठमाडौँ
Hotel Le Himalaya,"P8F9+6Q5, काठमाडौँ 44600",यहाँ अवस्थित छ: होटल गाङ्जोङ,lehimalaya.com,01-4439888
Hotel Holiday Inn,"Swayambhu Marg, काठमाडौँ 44600",01-5312571,P865+C2 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
OYO 729 Hotel Era,"Hotel Era Mitranagar26, काठमाडौँ 44600",oyorooms.com,P8J5+94 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Swarga Heritage Hotel,"छुस्या गल्ली, काठमाडौँ 44600",swargaheritagehotel.com,01-5917108,P867+86 काठमाडौँ
सत्कार बुटिक होम,"Chibahal Marg, काठमाडौँ 44600",984-1202296,P876+9J काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
होटल न्यू ईरा,"नरसिंह चोक मार्ग, काठमाडौँ 44601",hoteleranepal.com,01-5919371,P876+FM काठमाडौँ
Kumari Boutique Hotel,"छुस्या गल्ली, काठमाडौँ 44600",kumariboutiquehotel.com,01-5315617,P867+W9 काठमाडौँ
Nepal Cottage Resort,"पकनाजोल मार्ग, काठमाडौँ 44600",nepalcottageresort.com,01-4248039,P885+25 काठमाडौँ
होटेल हिरण्य,"Tejbhawan, Uttar Dokha Sadak, काठमाडौँ 44600",hotelheranya.com,01-4412716,P89C+F6 काठमाडौँ
अलोबार१००० होस्टल,"101/54, Kaldhara Marg 16, काठमाडौँ 44600",alobar1000.wixsite.com,01-5350563,P884+4W काठमाडौँ
Nomad Hotel Lazimpat - Best Hotel in Kathmandu,"Kumari Mai Marg, काठमाडौँ 44600",nomad.com.np,01-4529392,P8CC+27 काठमाडौँ
पशुपति भ्यू होटल,"Jai Bhageswori, काठमाडौँ 44600",01-5241465,P86W+37 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Pauwa Kathmandu,"Pashupati Vision Complex, चक्रपथ, काठमाडौँ 44600",hotelpauwa.com,985-7072505,P84X+54 काठमाडौँ
Kwabahal Boutique hostel,"वाक वज्र मार्ग, काठमाडौँ 44600",यहाँ अवस्थित छ: मैत्रीपुर महाविहार,01-5344174,P866+H7 काठमाडौँ
ठमेल इको रिसोर्ट,"P876+7M5, काठमाडौँ 44601",01-5315863,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
होटेल क्राऊन प्लाजा,"Hotel Crown Plaza, काठमाडौँ 44600",oyorooms.com,01-4523582,P87H+68 काठमाडौँ
Bodhi Boutique Hotel,"छुस्या गल्ली, काठमाडौँ 44600",hotelbodhiboutique.com,01-5904774,P867+P8 काठमाडौँ
Holy Land Guest House Pvt Ltd,"ठमेल भगवती मार्ग, काठमाडौँ 44600",thehimalayanjourneys.com,01-4433161,P886+FF काठमाडौँ
Hotel Lily Pvt.Ltd.,"Z Street, काठमाडौँ 44600",hotelthamellily.com,01-4701264,P885+MW काठमाडौँ
Hotel Balgopal,"Gongabu Marg, काठमाडौँ 44600",booking.com,986-6296088,P8M6+H2 काठमाडौँ
ग्र्यान्ड होटल,"रेडक्रस सडक, काठमाडौँ 44614",grandhotelnepal.com,01-5382482,M7XR+HC काठमाडौँ
होटल मनाङ,"चाक्सीवारी मार्ग, काठमाडौँ 44600",hotelmanang.com,01-4700047,P896+42 काठमाडौँ
अल्पाइन होटल एण्ड अपार्टमेन्ट,"Chaksibari Marg, Opp Manang Hotel, काठमाडौँ 44600",01-4701435,P896+27 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Metro Eco Hotel Pvt. Ltd.,"अमृत मार्ग 26, काठमाडौँ 46000",metroeverest.com,985-1019046,P896+M4 काठमाडौँ
