Name,Location,Website,contact,mapLocation
Hotel Nag Pukhu,"nag pokhari thalachhen, भक्तपुर 44800",यहाँ अवस्थित छ: नाग पोखरी,hotelnagpukhu.com,01-6613736
SPOT ON 425 A-one Hotel,भक्तपुर 44800,oyorooms.com,01-6540574,MCFG+GV भक्तपुर
MeroStay 222 Guest House DD,"Taumadhi Square, भक्तपुर 44800",980-1360840,MCFH+4P भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
SPOT ON 430 Hotel Heaven Hill Pvt Ltd,"Hotel Heaven Hill Nagarkot 6- Bastola Gaun, 44804",oyorooms.com,PF5J+FX महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
अजिमा गेस्ट हाउस,"MCCH+C3J, Ichhu Tole, Durbar Square, Ichhu Galli, 44800",01-6619362,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Saanvi Hotel & Sports Center (P) Ltd.,गोकर्णेश्वर 44600,saanvihotel.com,980-2366777,P998+9X गोकर्णेश्वर
नेपा अतिथि हाउस,"MCCH+28C, Bolachhen Sadak, भक्तपुर 44800",01-6619229,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
MeroStay 152 B 2N B Guest House,"MCFG+4Q3, भक्तपुर 44800",980-1360840,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Newa House,"MCCH+8JH, टौमढी मार्ग, भक्तपुर 44800",01-6619042,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
De' Tisha Inn Lounge & Bar,भक्तपुर 44800,detisha.com.np,01-6621034,MCCF+H4 भक्तपुर
Shanti batika hotel and restaurant,"MCHQ+73P, Changunarayan Rd, भक्तपुर 44800",business.site,985-1128836,तपाईंको फोनमा पठाउनुहोस्
Nyatapola View Guest House and Rooftop Restaurant,"MCCH+MRJ, भक्तपुर 44800",01-6620159,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
OYO 761 Tushita Guest House & Roof Top Restaurant,"Taumadi Road, 44800",oyorooms.com,01-6617435,MCCH+GV भक्तपुर
Sanga Resort,"chittapol-5, Bhaktapur bhaktapur, Bhaktapur 44806",980-2023939,JFVG+X3 सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
Delight Guest House,"MCCJ+69C, अरनिको राजमार्ग, भक्तपुर 44800",01-6615914,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Waterkingdom hotel and family resort,भक्तपुर,984-1631978,JFW8+G6 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel SNG,"shiva cholk, काठमाडौँ 44600",985-1027603,P99M+CM काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hobnob Garden Resort,Bachamari Bhaktapur Jagati,986-1387688,MCCJ+H4 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
